city,state_id,lat,lng,population,density,city_with_state
Port Trevorton,PA,40.6924,-76.894,629,71.8,"Port Trevorton, PA"
South Hills,MT,46.5564,-111.9975,629,41.4,"South Hills, MT"
Earlville,NY,42.7401,-75.5436,629,224.7,"Earlville, NY"
Happy Valley,NM,32.4236,-104.2903,629,113.2,"Happy Valley, NM"
Waynesfield,OH,40.6024,-83.9739,628,365.5,"Waynesfield, OH"
Myrtle Springs,TX,32.6151,-95.9329,628,33.2,"Myrtle Springs, TX"
Napi Headquarters,NM,36.6505,-108.2145,628,54.5,"Napi Headquarters, NM"
Franklin,IL,39.6205,-90.0477,628,292.6,"Franklin, IL"
Rawson,OH,40.9569,-83.7851,628,422.8,"Rawson, OH"
Wiscon,FL,28.5409,-82.4664,628,288.1,"Wiscon, FL"
Detroit,TX,33.6601,-95.2665,628,153.1,"Detroit, TX"
Tivoli,TX,28.4608,-96.8915,628,217.0,"Tivoli, TX"
Pennington,AL,32.201,-88.0378,628,46.5,"Pennington, AL"
Woodruff,WI,45.8946,-89.6912,628,171.3,"Woodruff, WI"
Mount Victory,OH,40.5338,-83.5211,627,286.8,"Mount Victory, OH"
Neapolis,OH,41.4905,-83.8747,627,341.1,"Neapolis, OH"
Dry Tavern,PA,39.9399,-80.0095,627,179.1,"Dry Tavern, PA"
Avon,IL,40.662,-90.4352,627,545.1,"Avon, IL"
Cuyahoga Heights,OH,41.435,-81.6562,627,78.9,"Cuyahoga Heights, OH"
Timber Lake,SD,45.4294,-101.0715,627,396.4,"Timber Lake, SD"
Galena,AK,64.7381,-156.8635,627,13.7,"Galena, AK"
Shippenville,PA,41.251,-79.4626,627,624.2,"Shippenville, PA"
Hailesboro,NY,44.3097,-75.4356,627,51.5,"Hailesboro, NY"
Beech Bottom,WV,40.2181,-80.6588,627,208.3,"Beech Bottom, WV"
Camden,IN,40.6099,-86.5392,627,585.7,"Camden, IN"
Camptown,VA,36.6833,-76.8965,627,39.8,"Camptown, VA"
South Mills,NC,36.4379,-76.3308,627,135.2,"South Mills, NC"
Hessmer,LA,31.0534,-92.1214,626,292.4,"Hessmer, LA"
Reedsville,PA,40.6646,-77.593,626,364.5,"Reedsville, PA"
St. Francis,SD,43.1426,-100.9028,626,627.6,"St. Francis, SD"
Ridgeway,WI,42.9986,-89.993,626,188.4,"Ridgeway, WI"
Lowry City,MO,38.1401,-93.7275,626,235.6,"Lowry City, MO"
Sunset,TX,33.448,-97.7663,626,48.9,"Sunset, TX"
Chief Lake,WI,45.9209,-91.3303,626,11.3,"Chief Lake, WI"
Ider,AL,34.7026,-85.669,626,44.5,"Ider, AL"
Carnuel,NM,35.0609,-106.4587,626,45.5,"Carnuel, NM"
Bloomdale,OH,41.1716,-83.5534,626,363.5,"Bloomdale, OH"
Thompsontown,PA,40.5658,-77.2361,625,550.6,"Thompsontown, PA"
Jamesport,MO,39.9749,-93.8029,625,429.8,"Jamesport, MO"
Altheimer,AR,34.3241,-91.8481,625,117.7,"Altheimer, AR"
Brevig Mission,AK,65.3413,-166.4953,625,99.2,"Brevig Mission, AK"
Sandyfield,NC,34.3738,-78.3,625,78.3,"Sandyfield, NC"
Happy,TX,34.7416,-101.8572,625,227.4,"Happy, TX"
Taconite,MN,47.3315,-93.3758,625,8.6,"Taconite, MN"
Ideal,GA,32.3726,-84.1894,625,210.9,"Ideal, GA"
Metamora,OH,41.7113,-83.9056,625,295.3,"Metamora, OH"
South Wilmington,IL,41.1745,-88.2795,624,489.8,"South Wilmington, IL"
Fonda,IA,42.5817,-94.8455,624,240.1,"Fonda, IA"
Thomas,WV,39.1458,-79.4958,624,54.0,"Thomas, WV"
Gratz,PA,40.6073,-76.7157,624,81.7,"Gratz, PA"
O'Donnell,TX,32.9652,-101.8309,624,280.1,"O'Donnell, TX"
Center City,MN,45.3942,-92.8142,624,410.3,"Center City, MN"
Vernon,MI,42.9392,-84.033,624,241.9,"Vernon, MI"
San Ardo,CA,36.0238,-120.9074,624,536.2,"San Ardo, CA"
Ohio,IL,41.556,-89.4599,623,377.1,"Ohio, IL"
Pleasant Valley,AK,64.8855,-146.8985,623,7.7,"Pleasant Valley, AK"
La Prairie,MN,47.2302,-93.4912,623,145.6,"La Prairie, MN"
Ellsworth,PA,40.1073,-80.0214,623,325.4,"Ellsworth, PA"
Rough and Ready,CA,39.234,-121.1381,623,75.8,"Rough and Ready, CA"
Allenwood,NJ,40.1384,-74.1032,623,137.8,"Allenwood, NJ"
Millington,MD,39.2629,-75.836,623,335.7,"Millington, MD"
Allenspark,CO,40.2099,-105.5112,622,20.1,"Allenspark, CO"
Kuttawa,KY,37.0593,-88.115,622,109.8,"Kuttawa, KY"
St. James,LA,30.0185,-90.8513,622,28.6,"St. James, LA"
Alhambra,IL,38.8878,-89.7362,622,317.9,"Alhambra, IL"
Thorntonville,TX,31.5789,-102.9221,622,299.9,"Thorntonville, TX"
Netarts,OR,45.4356,-123.9344,622,92.4,"Netarts, OR"
Middleville,NY,43.1384,-74.9707,622,313.9,"Middleville, NY"
Parkway Village,KY,38.2113,-85.7381,622,2700.4,"Parkway Village, KY"
Barnes Lake,MI,43.1792,-83.3002,622,155.2,"Barnes Lake, MI"
Portal,GA,32.5383,-81.9297,622,120.0,"Portal, GA"
Shenandoah Retreat,VA,39.1373,-77.8637,622,159.5,"Shenandoah Retreat, VA"
Halstad,MN,47.351,-96.8258,622,320.9,"Halstad, MN"
Wabasso,MN,44.4025,-95.2554,622,282.4,"Wabasso, MN"
Austin,PA,41.6373,-78.0903,622,59.4,"Austin, PA"
Woodland Hills,KY,38.2393,-85.5289,621,1488.3,"Woodland Hills, KY"
Bell Buckle,TN,35.5908,-86.3538,621,470.5,"Bell Buckle, TN"
Ruth,NC,35.3824,-81.9448,621,565.0,"Ruth, NC"
Fountain Lake,AR,34.6099,-92.9197,621,56.4,"Fountain Lake, AR"
Cedarville,IL,42.3757,-89.6362,621,519.8,"Cedarville, IL"
Fairmont,NE,40.6343,-97.5991,621,208.4,"Fairmont, NE"
Sandy Level,VA,36.5645,-79.7276,621,35.5,"Sandy Level, VA"
Rio Lucio,NM,36.1922,-105.72,621,228.0,"Rio Lucio, NM"
Perdido,AL,31.0034,-87.6323,621,21.5,"Perdido, AL"
Culbertson,NE,40.2284,-100.8351,621,286.4,"Culbertson, NE"
Sycamore Hills,MO,38.7013,-90.349,621,1536.9,"Sycamore Hills, MO"
Centerville,LA,29.7558,-91.428,621,254.4,"Centerville, LA"
Fincastle,VA,37.5006,-79.8749,621,117.2,"Fincastle, VA"
Whigham,GA,30.8845,-84.3247,621,204.3,"Whigham, GA"
Kanosh,UT,38.8014,-112.4374,621,310.7,"Kanosh, UT"
New Lothrop,MI,43.1168,-83.9693,621,277.2,"New Lothrop, MI"
La Paloma-Lost Creek,TX,27.7195,-97.7392,621,28.5,"La Paloma-Lost Creek, TX"
Port Washington,OH,40.3267,-81.5191,621,439.7,"Port Washington, OH"
Wainwright,AK,70.638,-159.9713,621,23.2,"Wainwright, AK"
Sabattus,ME,44.121,-70.107,621,341.2,"Sabattus, ME"
Baneberry,TN,36.0465,-83.2782,620,134.4,"Baneberry, TN"
Stoutsville,OH,39.6049,-82.8235,620,207.1,"Stoutsville, OH"
Bryantown,MD,38.5498,-76.8429,620,57.8,"Bryantown, MD"
Garysburg,NC,36.4479,-77.5603,620,253.7,"Garysburg, NC"
East Cathlamet,WA,46.1956,-123.3588,620,140.0,"East Cathlamet, WA"
Oak Grove,TX,32.5327,-96.3186,620,122.0,"Oak Grove, TX"
Scotts Corners,NY,41.1889,-73.5561,620,135.0,"Scotts Corners, NY"
Hemingford,NE,42.3214,-103.0754,620,352.1,"Hemingford, NE"
Tyronza,AR,35.4868,-90.356,620,153.9,"Tyronza, AR"
Paa-Ko,NM,35.1998,-106.3337,620,41.2,"Paa-Ko, NM"
Nocona Hills,TX,33.8524,-97.6435,620,46.0,"Nocona Hills, TX"
Castalian Springs,TN,36.4012,-86.3067,620,41.1,"Castalian Springs, TN"
Flat,TX,31.3093,-97.6242,620,244.2,"Flat, TX"
Bancroft,IA,43.2929,-94.2175,620,423.4,"Bancroft, IA"
Roosevelt Estates,AZ,33.6201,-110.9997,620,49.8,"Roosevelt Estates, AZ"
Sabin,MN,46.7814,-96.6542,619,526.8,"Sabin, MN"
Salisbury,PA,39.7535,-79.0844,619,430.6,"Salisbury, PA"
Cincinnati,AR,36.0405,-94.5185,619,32.0,"Cincinnati, AR"
Bedford Park,IL,41.7669,-87.7915,619,40.3,"Bedford Park, IL"
Humboldt,SD,43.6447,-97.0745,619,386.1,"Humboldt, SD"
Twin Oaks,MO,38.5657,-90.501,619,1039.7,"Twin Oaks, MO"
Hutsonville,IL,39.1085,-87.6606,619,384.4,"Hutsonville, IL"
Grindstone,PA,40.0219,-79.8231,619,181.8,"Grindstone, PA"
Metamora,MI,42.9422,-83.2897,619,287.4,"Metamora, MI"
South Weldon,NC,36.4135,-77.6024,619,548.9,"South Weldon, NC"
Blucksberg Mountain,SD,44.3593,-103.4538,619,357.5,"Blucksberg Mountain, SD"
Pi̱as,PR,18.1902,-66.2332,619,226.7,"Pi̱as, PR"
Guy,AR,35.3273,-92.3367,619,35.3,"Guy, AR"
O'Brien,OR,42.0702,-123.7077,619,45.8,"O'Brien, OR"
Bluetown,TX,26.0734,-97.8199,619,81.5,"Bluetown, TX"
Everly,IA,43.1619,-95.3195,618,228.0,"Everly, IA"
Jasper,AR,36.0124,-93.1874,618,250.0,"Jasper, AR"
East Galesburg,IL,40.9429,-90.3109,618,174.8,"East Galesburg, IL"
Onaga,KS,39.4892,-96.1703,618,363.8,"Onaga, KS"
Fort Jones,CA,41.6086,-122.8409,618,396.2,"Fort Jones, CA"
Surfside Beach,TX,28.9559,-95.2836,617,149.9,"Surfside Beach, TX"
Bayfield,WI,46.8142,-90.8228,617,274.3,"Bayfield, WI"
Kelso,MO,37.1922,-89.5505,617,351.1,"Kelso, MO"
Saluda,NC,35.2375,-82.3469,617,153.2,"Saluda, NC"
Kiester,MN,43.5365,-93.7111,617,556.2,"Kiester, MN"
Hatfield,IN,37.903,-87.2219,617,203.3,"Hatfield, IN"
Marion,UT,40.681,-111.2773,617,49.7,"Marion, UT"
Roscoe,PA,40.0782,-79.8642,617,1102.4,"Roscoe, PA"
Gaston,OR,45.4348,-123.1449,617,688.3,"Gaston, OR"
Marco Shores-Hammock Bay,FL,25.9964,-81.6889,617,268.7,"Marco Shores-Hammock Bay, FL"
Marshall,NC,35.7973,-82.6818,616,59.7,"Marshall, NC"
Westminster,OH,40.699,-83.9795,616,130.6,"Westminster, OH"
Stewartsville,NJ,40.6889,-75.1022,616,219.8,"Stewartsville, NJ"
Milner,GA,33.1176,-84.1931,616,112.9,"Milner, GA"
Welch,OK,36.8743,-95.0946,616,463.8,"Welch, OK"
Mott,ND,46.3744,-102.3189,616,258.9,"Mott, ND"
Bluffview,WI,43.3641,-89.773,616,283.3,"Bluffview, WI"
Scurry,TX,32.5125,-96.3846,616,123.5,"Scurry, TX"
Jane Lew,WV,39.11,-80.4085,616,258.5,"Jane Lew, WV"
Myton,UT,40.1933,-110.0624,616,234.8,"Myton, UT"
Eastover,SC,33.8779,-80.6949,616,195.9,"Eastover, SC"
Stannards,NY,42.0741,-77.9123,616,85.0,"Stannards, NY"
Paul Smiths,NY,44.4341,-74.2533,616,342.9,"Paul Smiths, NY"
Stockport,OH,39.5489,-81.7944,615,418.1,"Stockport, OH"
Silver Springs,NY,42.6605,-78.0855,615,249.3,"Silver Springs, NY"
Coolville,OH,39.2191,-81.7989,615,242.2,"Coolville, OH"
Island,KY,37.4432,-87.1473,615,400.1,"Island, KY"
Wickett,TX,31.5673,-103.006,615,337.0,"Wickett, TX"
Maricopa Colony,AZ,33.3626,-112.2267,615,43.3,"Maricopa Colony, AZ"
Loyall,KY,36.8527,-83.3506,614,513.1,"Loyall, KY"
Reynolds,IN,40.7492,-86.8743,614,428.3,"Reynolds, IN"
Remington,OH,39.2288,-84.3223,614,495.9,"Remington, OH"
San Jose,IL,40.3051,-89.6048,614,572.6,"San Jose, IL"
Enola,AR,35.1959,-92.2066,614,87.3,"Enola, AR"
Adrian,GA,32.5306,-82.592,614,172.4,"Adrian, GA"
San Jose,AZ,32.8169,-109.5957,614,56.5,"San Jose, AZ"
Ashley,ND,46.0347,-99.3736,614,368.7,"Ashley, ND"
Courtdale,PA,41.2849,-75.9143,614,231.9,"Courtdale, PA"
Marble,MN,47.328,-93.294,614,54.2,"Marble, MN"
Rocky Ripple,IN,39.8484,-86.1731,614,1566.7,"Rocky Ripple, IN"
Reedsville,WV,39.5103,-79.8005,614,365.3,"Reedsville, WV"
Fairfield,WA,47.3848,-117.1748,614,385.0,"Fairfield, WA"
Ripley,CA,33.5238,-114.653,614,139.4,"Ripley, CA"
Mineral,VA,38.0068,-77.9061,614,266.9,"Mineral, VA"
Garwin,IA,42.0935,-92.6791,614,235.3,"Garwin, IA"
McLaughlin,SD,45.8132,-100.8108,614,586.4,"McLaughlin, SD"
Ty Ty,GA,31.472,-83.6509,613,300.5,"Ty Ty, GA"
Silverton,CO,37.8107,-107.6649,613,283.5,"Silverton, CO"
Moulton,IA,40.6856,-92.6763,613,237.4,"Moulton, IA"
Port Leyden,NY,43.5838,-75.3412,613,383.6,"Port Leyden, NY"
West Point,AL,34.2394,-86.963,613,64.9,"West Point, AL"
South Boardman,MI,44.64,-85.2864,613,71.9,"South Boardman, MI"
Titusville,NY,41.6663,-73.8633,613,342.7,"Titusville, NY"
Anguilla,MS,32.9719,-90.8284,613,229.0,"Anguilla, MS"
Hot Springs,MT,47.6091,-114.6705,613,313.9,"Hot Springs, MT"
Keyesport,IL,38.746,-89.2737,613,328.5,"Keyesport, IL"
Sun River Terrace,IL,41.1254,-87.7337,613,407.0,"Sun River Terrace, IL"
Point Place,LA,31.6882,-93.0245,613,242.8,"Point Place, LA"
Payne Springs,TX,32.2872,-96.0892,613,112.2,"Payne Springs, TX"
St. John,WA,47.0915,-117.5887,612,352.3,"St. John, WA"
Marion,LA,32.8997,-92.2405,612,73.6,"Marion, LA"
Louisville,AL,31.781,-85.5583,612,86.0,"Louisville, AL"
Hustonville,KY,37.4784,-84.8151,612,320.2,"Hustonville, KY"
Golden City,MO,37.3931,-94.0942,612,228.4,"Golden City, MO"
Ferndale,FL,28.622,-81.7014,612,88.1,"Ferndale, FL"
Holland,IN,38.2464,-87.0384,612,698.9,"Holland, IN"
Cold Springs,CA,38.7465,-120.8738,612,242.3,"Cold Springs, CA"
Georgetown,PA,39.9426,-76.0789,612,58.0,"Georgetown, PA"
Ochelata,OK,36.6021,-95.9725,612,361.7,"Ochelata, OK"
Mocanaqua,PA,41.1407,-76.1367,612,476.8,"Mocanaqua, PA"
Littlefork,MN,48.3964,-93.5578,611,198.2,"Littlefork, MN"
Reardan,WA,47.6698,-117.878,611,475.3,"Reardan, WA"
Hermansville,MI,45.7093,-87.6079,611,185.3,"Hermansville, MI"
Caspian,MI,46.0653,-88.6266,611,165.4,"Caspian, MI"
Millville,OH,39.3925,-84.6528,611,404.4,"Millville, OH"
Minong,WI,46.0978,-91.8263,611,154.7,"Minong, WI"
Markleville,IN,39.9763,-85.6168,611,423.3,"Markleville, IN"
North Fairfield,OH,41.1045,-82.6137,611,510.8,"North Fairfield, OH"
Upper Witter Gulch,CO,39.661,-105.4268,611,259.1,"Upper Witter Gulch, CO"
Chain-O-Lakes,IN,41.7084,-86.38,611,153.0,"Chain-O-Lakes, IN"
K-Bar Ranch,TX,27.9928,-97.9267,611,70.0,"K-Bar Ranch, TX"
Elgin,NE,41.9831,-98.0828,610,323.4,"Elgin, NE"
Philadelphia,IN,39.7814,-85.8455,610,270.3,"Philadelphia, IN"
Hodge,LA,32.272,-92.7304,610,243.7,"Hodge, LA"
White Cliffs,NM,35.5491,-108.6644,610,549.4,"White Cliffs, NM"
Lemon Grove,FL,27.5765,-81.636,610,7.9,"Lemon Grove, FL"
Valley Acres,CA,35.2087,-119.4106,610,57.1,"Valley Acres, CA"
Trimble,TN,36.202,-89.1879,610,364.3,"Trimble, TN"
Benham,KY,36.9652,-82.9544,610,276.4,"Benham, KY"
Darby,MT,46.0231,-114.1787,610,372.6,"Darby, MT"
Coffeen,IL,39.0883,-89.3898,610,202.7,"Coffeen, IL"
Argyle,MN,48.3366,-96.8162,610,156.1,"Argyle, MN"
Martin,LA,32.0982,-93.2193,610,20.4,"Martin, LA"
Yukon,PA,40.2139,-79.6864,610,251.0,"Yukon, PA"
Quilcene,WA,47.8369,-122.9058,610,26.7,"Quilcene, WA"
Kiowa,CO,39.3436,-104.458,609,272.9,"Kiowa, CO"
Cookstown,NJ,40.0446,-74.5547,609,94.1,"Cookstown, NJ"
Pine Valley,NY,42.2272,-76.847,609,195.2,"Pine Valley, NY"
Verdigre,NE,42.5974,-98.0353,609,429.4,"Verdigre, NE"
Kenwood,CA,38.4153,-122.5387,609,45.5,"Kenwood, CA"
Gilmore City,IA,42.7268,-94.4368,609,189.8,"Gilmore City, IA"
Clarks,LA,32.0288,-92.1408,609,245.0,"Clarks, LA"
Ellendale,DE,38.8102,-75.425,609,553.5,"Ellendale, DE"
Effingham,KS,39.5228,-95.3969,609,379.7,"Effingham, KS"
Pineview,GA,32.1084,-83.5029,609,120.6,"Pineview, GA"
Mohall,ND,48.7661,-101.5169,609,220.2,"Mohall, ND"
Minnesota Lake,MN,43.8409,-93.8279,608,144.9,"Minnesota Lake, MN"
Glenwood,UT,38.7625,-111.9876,608,451.3,"Glenwood, UT"
Victor,CA,38.1385,-121.1987,608,185.9,"Victor, CA"
Ivanhoe,VA,36.8428,-80.9683,608,87.6,"Ivanhoe, VA"
Pleasant City,OH,39.9033,-81.5438,608,381.4,"Pleasant City, OH"
Volcano,HI,19.4864,-155.2774,608,8.8,"Volcano, HI"
Moreland,GA,33.2861,-84.7699,608,259.9,"Moreland, GA"
Lake Buckhorn,OH,40.4744,-81.9082,608,133.6,"Lake Buckhorn, OH"
Fontanelle,IA,41.2901,-94.5602,608,274.1,"Fontanelle, IA"
Kooskia,ID,46.1415,-115.9765,608,381.8,"Kooskia, ID"
Milano,TX,30.7083,-96.8593,608,128.5,"Milano, TX"
Minto,ND,48.2924,-97.373,608,163.3,"Minto, ND"
Hollis Crossroads,AL,33.5231,-85.6437,607,18.8,"Hollis Crossroads, AL"
Ramblewood,PA,40.7238,-77.9432,607,75.6,"Ramblewood, PA"
Talco,TX,33.3628,-95.1034,607,306.1,"Talco, TX"
Grand Junction,IA,42.033,-94.2369,606,241.4,"Grand Junction, IA"
Hopkins Park,IL,41.069,-87.606,606,56.3,"Hopkins Park, IL"
Zavalla,TX,31.1584,-94.418,606,112.1,"Zavalla, TX"
Plankinton,SD,43.7155,-98.4837,606,306.5,"Plankinton, SD"
Portland,PA,40.9216,-75.0985,606,484.9,"Portland, PA"
Spring Valley,OH,39.6102,-84.007,606,567.5,"Spring Valley, OH"
Vayas,PR,18.0541,-66.5858,606,721.3,"Vayas, PR"
Arivaca Junction,AZ,31.739,-111.0738,606,79.2,"Arivaca Junction, AZ"
Gasburg,VA,36.5588,-77.8722,606,41.2,"Gasburg, VA"
Foxworth,MS,31.2385,-89.8828,606,84.7,"Foxworth, MS"
South Dayton,NY,42.3628,-79.051,606,232.6,"South Dayton, NY"
Barton,MD,39.5323,-79.0171,606,346.5,"Barton, MD"
Rosedale,IN,39.6225,-87.2817,605,591.7,"Rosedale, IN"
Chalfant,CA,37.5105,-118.375,605,8.3,"Chalfant, CA"
Neosho,WI,43.3101,-88.5192,605,444.1,"Neosho, WI"
Indio Hills,CA,33.8411,-116.2484,605,10.7,"Indio Hills, CA"
Strattanville,PA,41.2025,-79.3269,605,466.9,"Strattanville, PA"
Waldron,MI,41.7242,-84.4188,605,233.7,"Waldron, MI"
Pardeesville,PA,41.0006,-75.968,605,368.5,"Pardeesville, PA"
Vanleer,TN,36.2358,-87.4446,605,113.9,"Vanleer, TN"
Downs,KS,39.5045,-98.5472,605,208.6,"Downs, KS"
St. Leonard,MD,38.4658,-76.4972,605,102.2,"St. Leonard, MD"
North Granville,NY,43.4515,-73.3581,605,224.4,"North Granville, NY"
Chandlerville,IL,40.047,-90.1512,605,294.0,"Chandlerville, IL"
Antioch,GA,32.679,-85.0577,605,91.3,"Antioch, GA"
Trimble,MO,39.4761,-94.5619,604,393.5,"Trimble, MO"
Eau Claire,MI,41.9853,-86.304,604,280.2,"Eau Claire, MI"
Wausa,NE,42.4978,-97.5393,604,444.7,"Wausa, NE"
Waterproof,LA,31.8073,-91.3861,604,334.6,"Waterproof, LA"
Mallow,VA,37.7676,-79.9702,604,352.9,"Mallow, VA"
Taycheedah,WI,43.8118,-88.3916,604,297.4,"Taycheedah, WI"
Washington Grove,MD,39.1407,-77.1746,604,985.1,"Washington Grove, MD"
St. Paul,KS,37.5186,-95.1742,604,206.8,"St. Paul, KS"
Mountain View,OK,35.0995,-98.7497,604,409.8,"Mountain View, OK"
Byron,MI,42.8239,-83.9467,604,330.2,"Byron, MI"
Seaboard,NC,36.4907,-77.442,603,241.8,"Seaboard, NC"
San Luis,CO,37.2025,-105.4225,603,410.7,"San Luis, CO"
Aguanga,CA,33.4522,-116.8555,603,17.1,"Aguanga, CA"
Hilltop,WV,37.9392,-81.1526,603,355.8,"Hilltop, WV"
Pettus,TX,28.6156,-97.8121,603,40.0,"Pettus, TX"
New Stuyahok,AK,59.4762,-157.271,603,6.9,"New Stuyahok, AK"
Chickasaw Point,SC,34.5363,-83.0751,603,106.5,"Chickasaw Point, SC"
Willsboro Point,NY,44.4246,-73.3807,603,83.7,"Willsboro Point, NY"
Chaplin,KY,37.8996,-85.2196,603,168.4,"Chaplin, KY"
Star Prairie,WI,45.1975,-92.5321,602,108.4,"Star Prairie, WI"
Hendricks,MN,44.5084,-96.427,602,239.6,"Hendricks, MN"
Melba,ID,43.3726,-116.5322,602,508.4,"Melba, ID"
Vicksburg,AZ,33.7293,-113.8255,602,1.6,"Vicksburg, AZ"
Niland,CA,33.2387,-115.5146,602,578.7,"Niland, CA"
Modoc,SC,33.7192,-82.2174,602,58.3,"Modoc, SC"
Bassett,NE,42.5826,-99.5367,602,523.8,"Bassett, NE"
Lake Winola,PA,41.5105,-75.8509,602,150.8,"Lake Winola, PA"
Palmyra,UT,40.1346,-111.6925,602,34.5,"Palmyra, UT"
Ranier,MN,48.6065,-93.353,602,217.2,"Ranier, MN"
Westley,CA,37.5469,-121.2009,602,671.5,"Westley, CA"
Leonardville,KS,39.3642,-96.8596,602,471.2,"Leonardville, KS"
Lake Park,MN,46.8839,-96.0989,602,244.0,"Lake Park, MN"
Colbert,GA,34.037,-83.2139,601,227.7,"Colbert, GA"
Rollingstone,MN,44.0993,-91.8187,601,532.9,"Rollingstone, MN"
Corn,OK,35.379,-98.7818,601,345.7,"Corn, OK"
Barnhill,OH,40.4497,-81.3679,601,289.7,"Barnhill, OH"
St. Bernice,IN,39.712,-87.52,601,181.7,"St. Bernice, IN"
Como,IL,41.7662,-89.7657,601,217.8,"Como, IL"
Syracuse,OH,38.9984,-81.9699,601,263.7,"Syracuse, OH"
Mettawa,IL,42.2445,-87.9197,601,42.6,"Mettawa, IL"
Kingfield,ME,44.9582,-70.1592,601,63.8,"Kingfield, ME"
Cherry Valley,AR,35.4028,-90.7536,600,302.5,"Cherry Valley, AR"
Coyle,OK,35.9568,-97.2396,600,295.2,"Coyle, OK"
Heron Lake,MN,43.7981,-95.3197,600,186.5,"Heron Lake, MN"
Upton,KY,37.4626,-85.899,600,170.6,"Upton, KY"
Francisco,IN,38.3327,-87.4481,600,379.6,"Francisco, IN"
Onalaska,WA,46.5782,-122.7114,599,144.2,"Onalaska, WA"
Sky Valley,GA,34.9841,-83.3314,599,76.2,"Sky Valley, GA"
Hayesville,OH,40.7752,-82.2596,599,313.4,"Hayesville, OH"
Tallula,IL,39.9457,-89.9365,599,435.3,"Tallula, IL"
Sankertown,PA,40.4714,-78.5919,599,635.2,"Sankertown, PA"
Rosalia,WA,47.2363,-117.3764,599,368.2,"Rosalia, WA"
Rancho Mesa Verde,AZ,32.5944,-114.6551,599,1100.7,"Rancho Mesa Verde, AZ"
Lawndale,NC,35.4142,-81.563,599,286.7,"Lawndale, NC"
Quebrada Prieta,PR,18.2943,-65.9037,599,122.3,"Quebrada Prieta, PR"
Reno Beach,OH,41.6607,-83.2659,598,186.4,"Reno Beach, OH"
Grover,NC,35.1735,-81.452,598,241.6,"Grover, NC"
Rocky Mountain,OK,35.796,-94.7718,598,15.1,"Rocky Mountain, OK"
Shoal Creek Drive,MO,37.037,-94.5228,598,491.8,"Shoal Creek Drive, MO"
Shickshinny,PA,41.1535,-76.1501,598,484.6,"Shickshinny, PA"
Collins,GA,32.1794,-82.1103,598,226.4,"Collins, GA"
Bethlehem,GA,33.9368,-83.7102,598,89.6,"Bethlehem, GA"
Casco,WI,44.5558,-87.6197,598,346.8,"Casco, WI"
Garden City,AL,34.015,-86.7493,598,102.2,"Garden City, AL"
Parker's Crossroads,TN,35.7894,-88.3905,598,61.0,"Parker's Crossroads, TN"
Millheim,PA,40.8936,-77.4765,598,173.4,"Millheim, PA"
Juniata Gap,PA,40.5518,-78.4332,598,437.3,"Juniata Gap, PA"
Masthope,PA,41.5155,-75.0257,597,44.1,"Masthope, PA"
Sacred Heart,MN,44.7817,-95.3507,597,232.3,"Sacred Heart, MN"
Chesnee,SC,35.1461,-81.863,597,215.3,"Chesnee, SC"
Dakota,IL,42.388,-89.5265,597,541.7,"Dakota, IL"
Hartman,AR,35.4353,-93.6235,597,145.9,"Hartman, AR"
Clara,MS,31.5831,-88.6916,597,59.2,"Clara, MS"
Mesquite,NM,32.167,-106.6885,597,281.5,"Mesquite, NM"
Mountain Lakes,NH,44.1205,-71.958,597,65.5,"Mountain Lakes, NH"
Orason,TX,26.0742,-97.4458,597,151.9,"Orason, TX"
Danville,MD,39.5125,-78.9184,597,201.8,"Danville, MD"
Supreme,LA,29.8604,-90.9955,597,68.1,"Supreme, LA"
Marshallton,PA,39.9496,-75.6781,597,506.4,"Marshallton, PA"
Butterfield Park,NM,32.4052,-106.6457,596,511.6,"Butterfield Park, NM"
Reynolds,IL,41.3319,-90.6723,596,407.6,"Reynolds, IL"
Confluence,PA,39.8095,-79.3552,596,143.8,"Confluence, PA"
St. Edward,NE,41.5716,-97.8612,596,349.5,"St. Edward, NE"
Rainbow City,AZ,33.8731,-109.9763,596,105.7,"Rainbow City, AZ"
Mooringsport,LA,32.6824,-93.9605,596,178.6,"Mooringsport, LA"
Green City,MO,40.2639,-92.9563,596,160.8,"Green City, MO"
Umapine,OR,45.976,-118.501,596,69.4,"Umapine, OR"
Melrose,WI,44.1316,-90.9969,596,287.4,"Melrose, WI"
Lucerne,WY,43.7136,-108.1873,596,11.5,"Lucerne, WY"
Beatty,NV,36.9474,-116.7337,596,13.0,"Beatty, NV"
Lewis,IN,39.26,-87.2575,596,61.8,"Lewis, IN"
Accoville,WV,37.7652,-81.827,596,71.3,"Accoville, WV"
Unionville,MI,43.6538,-83.4671,595,244.6,"Unionville, MI"
Seabrook,MA,41.5831,-70.4992,595,174.8,"Seabrook, MA"
Corder,MO,39.0992,-93.639,595,214.4,"Corder, MO"
Loa,UT,38.4037,-111.6454,595,241.8,"Loa, UT"
Gouglersville,PA,40.2702,-76.0192,595,167.9,"Gouglersville, PA"
Big Thicket Lake Estates,TX,30.4874,-94.7679,595,98.3,"Big Thicket Lake Estates, TX"
Arcadia,MO,37.5864,-90.6292,595,277.9,"Arcadia, MO"
Ivanhoe,MN,44.4655,-96.2508,595,354.1,"Ivanhoe, MN"
Mount Vernon,OR,44.4169,-119.1132,595,336.6,"Mount Vernon, OR"
