city,state_id,lat,lng,population,density,city_with_state
Truth or Consequences,NM,33.1864,-107.2589,6030,83.2,"Truth or Consequences, NM"
Somerset,PA,40.0049,-79.0778,6030,853.3,"Somerset, PA"
Erwin,TN,36.1456,-82.4115,6026,563.9,"Erwin, TN"
Dickson City,PA,41.4684,-75.6358,6026,485.2,"Dickson City, PA"
Eudora,KS,38.9345,-95.0956,6025,792.0,"Eudora, KS"
Port Clinton,OH,41.5094,-82.9385,6024,1091.7,"Port Clinton, OH"
North Fort Lewis,WA,47.1222,-122.5962,6022,394.4,"North Fort Lewis, WA"
Doolittle,TX,26.3597,-98.1167,6019,542.7,"Doolittle, TX"
Midway,UT,40.5183,-111.4746,6019,378.9,"Midway, UT"
Fruit Heights,UT,41.0277,-111.9082,6018,1015.1,"Fruit Heights, UT"
Jamul,CA,32.7184,-116.8709,6018,138.0,"Jamul, CA"
Wilmore,KY,37.8786,-84.6545,6017,466.7,"Wilmore, KY"
Nazareth,PA,40.74,-75.3131,6015,1465.0,"Nazareth, PA"
Buena Vista,MI,43.4176,-83.9005,6013,580.9,"Buena Vista, MI"
Pevely,MO,38.2867,-90.3988,6012,472.7,"Pevely, MO"
Moores Mill,AL,34.8491,-86.5222,6007,170.6,"Moores Mill, AL"
Mulvane,KS,37.4789,-97.2724,6003,549.3,"Mulvane, KS"
Harriman,TN,35.9307,-84.5602,6000,220.7,"Harriman, TN"
Williamson,AZ,34.7082,-112.5343,5999,39.8,"Williamson, AZ"
Hilton,NY,43.29,-77.7925,5998,1296.4,"Hilton, NY"
Holly,MI,42.7987,-83.622,5997,817.9,"Holly, MI"
Alpine,TX,30.364,-103.665,5997,480.9,"Alpine, TX"
East Aurora,NY,42.7667,-78.6172,5996,922.0,"East Aurora, NY"
Gardiner,ME,44.191,-69.7921,5994,147.6,"Gardiner, ME"
Cumberland,IN,39.7843,-85.9458,5991,823.0,"Cumberland, IN"
Fort Myers Shores,FL,26.7135,-81.7384,5990,1114.9,"Fort Myers Shores, FL"
Lewistown,MT,47.0514,-109.4524,5988,404.0,"Lewistown, MT"
Kingston,TN,35.8713,-84.4959,5987,317.1,"Kingston, TN"
Enola,PA,40.2908,-76.9348,5986,1436.1,"Enola, PA"
Edna,TX,28.9757,-96.6483,5985,559.0,"Edna, TX"
Kermit,TX,31.854,-103.0924,5984,918.2,"Kermit, TX"
Packanack Lake,NJ,40.9382,-74.2564,5982,1241.4,"Packanack Lake, NJ"
